Week,Pet adoption: (Worldwide),Online streamer: (Worldwide),Staycation: (Worldwide)
4/25/2021,57,54,38
5/2/2021,62,45,33
5/9/2021,59,47,37
5/16/2021,63,45,38
5/23/2021,54,52,35
5/30/2021,59,55,37
6/6/2021,52,47,40
6/13/2021,55,46,40
6/20/2021,50,47,42
6/27/2021,54,50,44
7/4/2021,53,48,40
7/11/2021,54,46,44
7/18/2021,61,60,44
7/25/2021,56,52,42
8/1/2021,52,46,42
8/8/2021,56,48,42
8/15/2021,57,48,42
8/22/2021,61,48,37
8/29/2021,57,47,44
